date,city,weekdays,high_temp,low_temp,weather,w_direct,w_force
2012/1/1,北京,星期日,3,-4,多云~阴,无持续风向,微风
2012/1/2,北京,星期一,2,-6,晴,北风,4-5级
2012/1/3,北京,星期二,1,-8,晴,北风~无持续风向,3-4级~微风
2012/1/4,北京,星期三,1,-10,晴,无持续风向,微风
2012/1/5,北京,星期四,2,-8,晴~多云,无持续风向,微风
2012/1/6,北京,星期五,0,-6,阴,无持续风向,微风
2012/1/7,北京,星期六,-2,-6,小雪~阴,无持续风向,微风
2012/1/8,北京,星期日,2,-8,晴,无持续风向,微风
2012/1/9,北京,星期一,2,-7,晴,无持续风向,微风
2012/1/10,北京,星期二,3,-7,晴,北风~无持续风向,3-4级~微风
2012/1/11,北京,星期三,2,-10,晴,无持续风向,微风
2012/1/12,北京,星期四,3,-8,晴,无持续风向,微风
2012/1/13,北京,星期五,4,-7,晴,无持续风向,微风
2012/1/14,北京,星期六,4,-8,晴,无持续风向,微风
2012/1/17,北京,星期二,2,-6,阴~多云,无持续风向,微风
2012/1/18,北京,星期三,1,-4,多云~阴,无持续风向,微风
2012/1/19,北京,星期四,0,-4,阴~小雪,无持续风向,微风
2012/1/20,北京,星期五,-1,-8,阴~多云,无持续风向,微风
2012/1/21,北京,星期六,-3,-11,晴,北风~无持续风向,3-4级~微风
2012/1/22,北京,星期日,-4,-13,晴,无持续风向,微风
2012/1/23,北京,星期一,-1,-10,晴,无持续风向,微风
2012/1/24,北京,星期二,0,-12,晴,无持续风向,微风
2012/1/25,北京,星期三,1,-11,晴,无持续风向,微风
2012/1/26,北京,星期四,2,-9,晴,无持续风向,微风
2012/1/27,北京,星期五,2,-7,晴~阴,无持续风向,微风
2012/1/28,北京,星期六,-1,-9,阴~晴,无持续风向,微风
2012/1/29,北京,星期日,0,-9,晴~阴,无持续风向,微风
2012/1/30,北京,星期一,-3,-8,阴~多云,无持续风向,微风
2012/1/31,北京,星期二,0,-11,晴,北风,3-4级
2012/2/1,北京,星期三,-3,-12,晴,北风~无持续风向,3-4级~微风
2012/2/2,北京,星期四,-1,-12,晴,无持续风向,微风
2012/2/3,北京,星期五,2,-9,晴,无持续风向,微风
2012/2/4,北京,星期六,4,-7,晴~多云,无持续风向,微风
2012/2/5,北京,星期日,3,-7,多云~晴,无持续风向~北风,微风~4-5级
2012/2/6,北京,星期一,-3,-12,晴,北风,5-6级~3-4级
2012/2/7,北京,星期二,-2,-10,晴,北风~无持续风向,3-4级~微风
2012/2/8,北京,星期三,2,-9,晴,无持续风向,微风
2012/2/9,北京,星期四,4,-8,多云~晴,无持续风向,微风
2012/2/10,北京,星期五,3,-8,晴~多云,无持续风向,微风
2012/2/11,北京,星期六,5,-6,晴,无持续风向,微风
2012/2/12,北京,星期日,4,-4,多云,无持续风向,微风
2012/2/13,北京,星期一,4,-2,多云~阴,无持续风向,微风
2012/2/14,北京,星期二,5,-6,多云,北风~无持续风向,3-4级~微风
2012/2/15,北京,星期三,2,-4,晴,无持续风向~北风,微风~3-4级
2012/2/16,北京,星期四,2,-7,晴,北风~无持续风向,3-4级~微风
2012/2/17,北京,星期五,1,-7,晴,无持续风向,微风
2012/2/18,北京,星期六,4,-7,晴,无持续风向,微风
2012/2/19,北京,星期日,6,-5,晴,无持续风向,微风
2012/2/20,北京,星期一,8,-3,晴~多云,无持续风向,微风
2012/2/21,北京,星期二,5,-2,多云~阴,无持续风向,微风
2012/2/22,北京,星期三,7,-2,阴~晴,北风,3-4级
